ImageID,Labels
30000.jpg,1
30001.jpg,1 3
30002.jpg,1 17
30003.jpg,18
30004.jpg,1 3
30005.jpg,1 3
30006.jpg,17
30007.jpg,1 9
30008.jpg,1 5 9
30009.jpg,1
30010.jpg,1 3 10
30011.jpg,19
30012.jpg,1 7
30013.jpg,1 3
30014.jpg,1 3 8
30015.jpg,1 9
30016.jpg,1 6
30017.jpg,1 3
30018.jpg,1 3 8
30019.jpg,1 15
30020.jpg,1 3 10
30021.jpg,1 18
30022.jpg,1 9
30023.jpg,1 3
30024.jpg,1 5
30025.jpg,17
30026.jpg,1 3
30027.jpg,1 7
30028.jpg,1
30029.jpg,1 7
30030.jpg,1 3
30031.jpg,1 5 8
30032.jpg,1 3
30033.jpg,1 4
30034.jpg,17
30035.jpg,19
30036.jpg,1 3
30037.jpg,1 18
30038.jpg,3 13
30039.jpg,18
30040.jpg,1 3 19
30041.jpg,17
30042.jpg,1 7 15
30043.jpg,1 3
30044.jpg,1 3
30045.jpg,1 3 15
30046.jpg,17 18
30047.jpg,1 3
30048.jpg,1
30049.jpg,1 7
30050.jpg,1 7
30051.jpg,1 9
30052.jpg,17
30053.jpg,1 3
30054.jpg,1 3 8
30055.jpg,1 3
30056.jpg,1
30057.jpg,17
30058.jpg,1 7
30059.jpg,1 9
30060.jpg,1 9
30061.jpg,1
30062.jpg,1 3
30063.jpg,1 3
30064.jpg,1 15
30065.jpg,1
30066.jpg,1 3
30067.jpg,1 18
30068.jpg,1 3 7
30069.jpg,1 19
30070.jpg,1
30071.jpg,1 9
30072.jpg,7
30073.jpg,1
30074.jpg,17
30075.jpg,17
30076.jpg,1 3
30077.jpg,1 3 8 10 13
30078.jpg,1 7
30079.jpg,7
30080.jpg,17 18
30081.jpg,1 3
30082.jpg,1 3
30083.jpg,1 3
30084.jpg,1 15
30085.jpg,1 3 7
30086.jpg,18
30087.jpg,1
30088.jpg,1 3
30089.jpg,18
30090.jpg,1 7
30091.jpg,19
30092.jpg,1 3
30093.jpg,1 3
30094.jpg,1 5 8
30095.jpg,1 9
30096.jpg,1 3
30097.jpg,1 3
30098.jpg,1 3 8
30099.jpg,3 13
30100.jpg,3
30101.jpg,1 7
30102.jpg,1
30103.jpg,5
30104.jpg,17 18
30105.jpg,1 15
30106.jpg,1 18
30107.jpg,18
30108.jpg,17
30109.jpg,1 18
30110.jpg,17
30111.jpg,1 19
30112.jpg,1 3
30113.jpg,17
30114.jpg,1 3
30115.jpg,1
30116.jpg,19
30117.jpg,17
30118.jpg,1 4
30119.jpg,1 9
30120.jpg,1 3
30121.jpg,1 3 6
30122.jpg,1
30123.jpg,1 3
30124.jpg,1
30125.jpg,1 7 15
30126.jpg,18
30127.jpg,1 3
30128.jpg,1 9
30129.jpg,1 9
30130.jpg,1 19
30131.jpg,1 7
30132.jpg,7 15
30133.jpg,1 7
30134.jpg,1 4
30135.jpg,1 7
30136.jpg,1 18
30137.jpg,1 3
30138.jpg,1 3 8
30139.jpg,1 5 9
30140.jpg,1 3
30141.jpg,1 19
30142.jpg,1
30143.jpg,1 19
30144.jpg,1 19
30145.jpg,1 7
30146.jpg,1 19
30147.jpg,3
30148.jpg,1
30149.jpg,1 9
30150.jpg,1 6
30151.jpg,1
30152.jpg,1 3
30153.jpg,1 3
30154.jpg,10
30155.jpg,1 3
30156.jpg,1
30157.jpg,1 6
30158.jpg,1 19
30159.jpg,18
30160.jpg,1 19
30161.jpg,1 7
30162.jpg,7
30163.jpg,1 3
30164.jpg,1 7
30165.jpg,1 3 8
30166.jpg,18
30167.jpg,1 18
30168.jpg,1
30169.jpg,1 3
30170.jpg,1 7 15
30171.jpg,1 3
30172.jpg,1
30173.jpg,17
30174.jpg,7
30175.jpg,16
30176.jpg,1
30177.jpg,18
30178.jpg,1 15
30179.jpg,1 9
30180.jpg,1 9
30181.jpg,19
30182.jpg,1
30183.jpg,1 3
30184.jpg,1 19
30185.jpg,1
30186.jpg,1 3
30187.jpg,17
30188.jpg,1 3
30189.jpg,1 3 10
30190.jpg,17
30191.jpg,17
30192.jpg,1
30193.jpg,1
30194.jpg,1
30195.jpg,16
30196.jpg,18
30197.jpg,1 7
30198.jpg,1 3 19
30199.jpg,1 18
30200.jpg,1 7
30201.jpg,1
30202.jpg,1
30203.jpg,1
30204.jpg,1
30205.jpg,1 5 8
30206.jpg,1 3
30207.jpg,1 3 15
30208.jpg,1 3
30209.jpg,1
30210.jpg,1
30211.jpg,1 19
30212.jpg,1 3
30213.jpg,1
30214.jpg,1
30215.jpg,5
30216.jpg,1
30217.jpg,17
30218.jpg,1 6
30219.jpg,5
30220.jpg,1 3
30221.jpg,1 3
30222.jpg,1 3
30223.jpg,17
30224.jpg,1 3
30225.jpg,1 3 8
30226.jpg,1 3
30227.jpg,1 3
30228.jpg,1 3 4
30229.jpg,1 15
30230.jpg,1 3
30231.jpg,1 5 8
30232.jpg,1 4
30233.jpg,1 3 15
30234.jpg,1
30235.jpg,1 7
30236.jpg,1 3
30237.jpg,1 9
30238.jpg,1 18
30239.jpg,1 3
30240.jpg,1 15
30241.jpg,1
30242.jpg,1 18
30243.jpg,1 7
30244.jpg,18
30245.jpg,1 3
30246.jpg,1 3
30247.jpg,1
30248.jpg,1 7
30249.jpg,1 19
